Text;Size
winning;3
interest;3
blankets;3
dropping;3
swiftly;3
bishop;3
parvati;3
himthe;3
pumpkin;3
subject;3
wasalmost;3
everyones;3
bythe;3
glittering;3
relax;3
thomas;3
ignore;3
test;3
journey;3
schoolharry;3
flushed;3
beaming;3
shown;3
themharry;3
warmth;3
crumpled;3
coats;3
crossbow;3
downward;3
headless;3
stumbled;3
stare;3
jacket;3
dying;3
idont;3
anxiously;3
shout;3
calmly;3
reckons;3
slithering;3
thelibrary;3
fiveminutes;3
pipe;3
anda;3
women;3
mustnt;3
hats;3
roof;3
swishing;3
laugh;3
copying;3
obvious;3
halt;3
ordered;3
cliff;3
rounded;3
pick;3
frowning;3
tune;2
auntie;2
mouthful;2
namevoldemort;2
saidhe;2
hermionewell;2
hishead;2
yourfather;2
guide;2
alittle;2
saidim;2
screech;2
slumped;2
andstarted;2
unfolding;2
groundharry;2
horns;2
feltthe;2
astronomy;2
cheered;2
depths;2
slipping;2
copper;2
gloom;2
outhow;2
unusually;2
miserable;2
drawn;2
stammered;2
ifthey;2
curses;2
rations;2
downhis;2
redder;2
leavesharry;2
discovery;2
punishment;2
hopefully;2
rummaging;2
prophet;2
crystal;2
toothless;2
tiptoe;2
screwed;2
saidprofessor;2
beside;2
convinced;2
amazement;2
await;2
everyyear;2
timeout;2
ttto;2
complain;2
malfoyron;2
allthe;2
bea;2
iton;2
escalator;2
amuse;2
coldly;2
applause;2
downright;2
drowned;2
grangers;2
bar;2
youknowwhos;2
hufflepuffs;2
lookingat;2
king;2
itin;2
whisperedits;2
choking;2
simple;2
seamuss;2
trodden;2
parted;2
dared;2
sticky;2
cars;2
matches;2
cara;2
cast;2
blazing;2
moms;2
introduce;2
dotted;2
gloves;2
hewore;2
cracks;2
younot;2
neighbors;2
mouse;2
stuffing;2
calm;2
favors;2
thepackage;2
spirits;2
shabby;2
hewont;2
taste;2
tohide;2
dull;2
suggested;2
perched;2
warty;2
mouthed;2
barrels;2
didntthink;2
youknowwhat;2
twisting;2
thereshe;2
brains;2
impressed;2
trainharry;2
vacation;2
mighta;2
defeat;2
malfay;2
barons;2
hairs;2
hersister;2
rip;2
swish;2
rumors;2
practicing;2
thatharry;2
scrambling;2
rifle;2
therefore;2
offended;2
shakily;2
calling;2
theghosts;2
thecloak;2
awarded;2
breathed;2
throat;2
ketchup;2
score;2
sorta;2
horses;2
normally;2
insisted;2
public;2
pelting;2
toilets;2
youhagrid;2
hermioneim;2
thekey;2
hovered;2
spat;2
flickered;2
atowering;2
schedules;2
isay;2
swept;2
slept;2
hunger;2
celebrate;2
hesitated;2
mainly;2
afterward;2
cannon;2
theforest;2
collecting;2
fist;2
haircut;2
thesorcerers;2
spray;2
firm;2
butharry;2
goingto;2
extraordinary;2
thename;2
racket;2
momentlater;2
breeze;2
seriously;2
theplace;2
gathered;2
tart;2
streaming;2
daybut;2
trunks;2
toobusy;2
britain;2
everythin;2
arguing;2
greathall;2
postage;2
tracks;2
remembering;2
idiot;2
andharry;2
emptying;2
passes;2
asharry;2
hagridthey;2
ithad;2
thursday;2
withher;2
smeltings;2
weirdos;2
july;2
youdoing;2
trip;2
hoarse;2
uneasy;2
onethe;2
teapot;2
potterthe;2
livingroom;2
himfrom;2
silvery;2
hagridharry;2
ronhad;2
andwatched;2
whistled;2
markings;2
group;2
fungi;2
lately;2
desire;2
grown;2
mirrori;2
harrycouldnt;2
jackets;2
gateway;2
pub;2
genius;2
fixeddumbledore;2
heavens;2
babble;2
guilty;2
sprinting;2
continue;2
feelings;2
whatlooked;2
himyou;2
moleskin;2
imean;2
neatly;2
passageways;2
recognize;2
burning;2
insidethe;2
quidditchmatch;2
garlic;2
mahogany;2
jammed;2
rapped;2
hesaid;2
disgusted;2
pasties;2
desperatelyhermione;2
towardthe;2
breathlessly;2
prefecthow;2
